Country,Amphibians,Birds,Fish,Invertebrates,Lichens,Mammals,Mosses,Reptiles,Vascular plants
Australia,17.0,17.0,16.0,30.0,0.0,9.0,0.0,9.0,212.0
Austria,1.0,14.0,12.0,302.0,57.0,4.0,34.0,3.0,235.0
Belgium,3.0,20.0,6.0,135.0,0.0,4.0,0.0,0.0,253.0
Brazil,18.0,42.0,270.0,101.0,0.0,12.0,0.0,10.0,0.0
Canada,3.0,23.0,22.0,287.0,127.0,11.0,75.0,4.0,254.0
Chile,10.0,2.0,2.0,33.0,1.0,3.0,1.0,9.0,74.0
Colombia,75.0,15.0,10.0,6.0,0.0,4.0,6.0,11.0,105.0
Costa Rica,23.0,2.0,4.0,3.0,0.0,1.0,0.0,3.0,10.0
Czech Republic,5.0,35.0,30.0,961.0,136.0,10.0,70.0,1.0,284.0
Denmark,1.0,24.0,5.0,104.0,84.0,1.0,5.0,0.0,33.0
Estonia,0.0,23.0,8.0,40.0,64.0,2.0,19.0,0.0,35.0
Finland,0.0,18.0,8.0,168.0,98.0,1.0,133.0,0.0,35.0
France,0.0,16.0,14.0,18.0,0.0,3.0,0.0,0.0,51.0
Germany,0.0,30.0,24.0,559.0,337.0,7.0,45.0,4.0,212.0
Greece,1.0,14.0,38.0,0.0,0.0,3.0,0.0,1.0,17.0
Hungary,0.0,23.0,0.0,9.0,24.0,5.0,20.0,0.0,115.0
Iceland,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,0.0,0.0,7.0,28.0,0.0,0.0,19.0,0.0,20.0
Italy,0.0,10.0,42.0,88.0,0.0,2.0,0.0,1.0,193.0
Japan,5.0,24.0,158.0,20.0,2.0,12.0,137.0,5.0,529.0
Korea,0.0,7.0,8.0,18.0,0.0,2.0,0.0,0.0,28.0
Latvia,1.0,4.0,2.0,7.0,2.0,0.0,3.0,1.0,16.0
Lithuania,0.0,19.0,6.0,13.0,24.0,0.0,9.0,0.0,23.0
Luxembourg,2.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,121.0
Mexico,0.0,18.0,27.0,1.0,0.0,9.0,0.0,0.0,6.0
Netherlands,1.0,11.0,8.0,50.0,49.0,2.0,52.0,1.0,71.0
New Zealand,0.0,0.0,0.0,133.0,6.0,0.0,14.0,0.0,0.0
Norway,1.0,11.0,4.0,103.0,49.0,3.0,44.0,0.0,44.0
Poland,0.0,16.0,8.0,152.0,179.0,2.0,0.0,1.0,124.0
Portugal,0.0,20.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0
Slovak Republic,0.0,10.0,0.0,199.0,140.0,2.0,47.0,1.0,155.0
Slovenia,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,1.0,10.0,18.0,20.0,0.0,2.0,13.0,4.0,272.0
Sweden,0.0,6.0,13.0,87.0,52.0,1.0,11.0,0.0,39.0
Switzerland,0.0,9.0,30.0,230.0,45.0,5.0,121.0,2.0,111.0
Türkiye,1.0,7.0,54.0,0.0,0.0,3.0,0.0,8.0,65.0
United Kingdom,1.0,18.0,2.0,102.0,45.0,2.0,26.0,0.0,51.0
