REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Australia,2001,-3.507412791,drought
Australia,2001,1.951617741,drought
Australia,2002,-14.38405267,drought
Australia,2002,-16.176138,drought
Australia,2003,-1.009242687,drought
Australia,2003,-5.087396232,drought
Australia,2004,-5.096464912,drought
Australia,2004,-2.431892663,drought
Australia,2005,-2.067366632,drought
Australia,2005,-7.538586687,drought
Australia,2006,-14.17395379,drought
Australia,2006,-5.470866695,drought
Australia,2007,-5.417534721,drought
Australia,2007,-3.022173029,drought
Australia,2008,-4.279336556,drought
Australia,2008,-6.289157576,drought
Australia,2009,-6.490866664,drought
Australia,2009,-7.229115524,drought
Australia,2010,7.417868228,drought
Australia,2010,13.20422327,drought
Australia,2011,4.646915649,drought
Australia,2011,12.12340754,drought
Australia,2012,-3.699479645,drought
Australia,2012,-2.718353253,drought
Australia,2013,-4.083569802,drought
Australia,2013,-6.234408218,drought
Australia,2014,-4.454936738,drought
Australia,2014,-4.80415904,drought
Australia,2015,-3.683285293,drought
Australia,2015,-5.85320758,drought
Australia,2016,7.619006017,drought
Australia,2016,5.347087706,drought
Australia,2017,-5.806462358,drought
Australia,2017,-4.891449178,drought
Australia,2018,-11.66174453,drought
Australia,2018,-12.3347008,drought
Australia,2019,-14.85866552,drought
Australia,2019,-20.83974901,drought
Australia,2020,1.392655777,drought
Australia,2020,-4.851823166,drought
Austria,2001,-0.383488259,drought
Austria,2001,-0.371958908,drought
Austria,2002,1.807538331,drought
Austria,2002,1.952459328,drought
Austria,2003,-4.236410122,drought
Austria,2003,-7.103083834,drought
Austria,2004,1.416388737,drought
Austria,2004,1.853406023,drought
Austria,2005,0.032932486,drought
Austria,2005,2.134541866,drought
Austria,2006,-1.633868016,drought
Austria,2006,-0.852795925,drought
Austria,2007,-0.125624022,drought
Austria,2007,-2.042463786,drought
Austria,2008,1.209838893,drought
Austria,2008,1.332606531,drought
Austria,2009,1.710339559,drought
Austria,2009,2.654105443,drought
Austria,2010,2.072767034,drought
