REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Australia,2001,0.238528799,flood
Australia,2001,0.224589888,flood
Australia,2001,0.209002428,flood
Australia,2001,0.253462969,flood
Australia,2002,0.238528799,flood
Australia,2002,0.224589888,flood
Australia,2002,0.209002428,flood
Australia,2002,0.253462969,flood
Australia,2003,0.238528799,flood
Australia,2003,0.224589888,flood
Australia,2003,0.209002428,flood
Australia,2003,0.253462969,flood
Australia,2004,0.238528799,flood
Australia,2004,0.224589888,flood
Australia,2004,0.209002428,flood
Australia,2004,0.253462969,flood
Australia,2005,0.238528799,flood
Australia,2005,0.224589888,flood
Australia,2005,0.209002428,flood
Australia,2005,0.253462969,flood
Australia,2006,0.238528799,flood
Australia,2006,0.224589888,flood
Australia,2006,0.209002428,flood
Australia,2006,0.253462969,flood
Australia,2007,0.238528799,flood
Australia,2007,0.224589888,flood
Australia,2007,0.209002428,flood
Australia,2007,0.253462969,flood
Australia,2008,0.238528799,flood
Australia,2008,0.224589888,flood
Australia,2008,0.209002428,flood
Australia,2008,0.253462969,flood
Australia,2009,0.238528799,flood
Australia,2009,0.224589888,flood
Australia,2009,0.209002428,flood
Australia,2009,0.253462969,flood
Australia,2010,0.238528799,flood
Australia,2010,0.224589888,flood
Australia,2010,0.209002428,flood
Australia,2010,0.253462969,flood
Australia,2011,0.238528799,flood
Australia,2011,0.224589888,flood
Australia,2011,0.209002428,flood
Australia,2011,0.253462969,flood
Australia,2012,0.238528799,flood
Australia,2012,0.224589888,flood
Australia,2012,0.209002428,flood
Australia,2012,0.253462969,flood
Australia,2013,0.238528799,flood
Australia,2013,0.224589888,flood
Australia,2013,0.209002428,flood
Australia,2013,0.253462969,flood
Australia,2014,0.238528799,flood
Australia,2014,0.224589888,flood
Australia,2014,0.209002428,flood
Australia,2014,0.253462969,flood
Australia,2015,0.238528799,flood
Australia,2015,0.224589888,flood
Australia,2015,0.209002428,flood
Australia,2015,0.253462969,flood
Australia,2016,0.238528799,flood
Australia,2016,0.224589888,flood
Australia,2016,0.209002428,flood
Australia,2016,0.253462969,flood
Australia,2017,0.238528799,flood
Australia,2017,0.224589888,flood
Australia,2017,0.209002428,flood
Australia,2017,0.253462969,flood
Australia,2018,0.238528799,flood
Australia,2018,0.224589888,flood
Australia,2018,0.209002428,flood
Australia,2018,0.253462969,flood
Australia,2019,0.238528799,flood
Australia,2019,0.224589888,flood
Australia,2019,0.209002428,flood
Australia,2019,0.253462969,flood
Australia,2020,0.238528799,flood
Australia,2020,0.224589888,flood
Australia,2020,0.209002428,flood
Australia,2020,0.253462969,flood
Belgium,2001,6.673285539,flood
Belgium,2001,6.993943035,flood
Belgium,2001,6.41042656,flood
Belgium,2001,7.455882439,flood
Belgium,2002,6.673285539,flood
Belgium,2002,6.993943035,flood
Belgium,2002,6.41042656,flood
Belgium,2002,7.455882439,flood
Belgium,2003,6.673285539,flood
Belgium,2003,6.993943035,flood
Belgium,2003,6.41042656,flood
Belgium,2003,7.455882439,flood
Belgium,2004,6.673285539,flood
Belgium,2004,6.993943035,flood
Belgium,2004,6.41042656,flood
Belgium,2004,7.455882439,flood
Belgium,2005,6.673285539,flood
Belgium,2005,6.993943035,flood
Belgium,2005,6.41042656,flood
Belgium,2005,7.455882439,flood
Belgium,2006,6.673285539,flood
Belgium,2006,6.993943035,flood
Belgium,2006,6.41042656,flood
Belgium,2006,7.455882439,flood
Belgium,2007,6.673285539,flood
Belgium,2007,6.993943035,flood
Belgium,2007,6.41042656,flood
Belgium,2007,7.455882439,flood
Belgium,2008,6.673285539,flood
Belgium,2008,6.993943035,flood
Belgium,2008,6.41042656,flood
Belgium,2008,7.455882439,flood
Belgium,2009,6.673285539,flood
Belgium,2009,6.993943035,flood
Belgium,2009,6.41042656,flood
Belgium,2009,7.455882439,flood
Belgium,2010,6.673285539,flood
Belgium,2010,6.993943035,flood
