REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Australia,2001,900401.4277,wildfire
Australia,2001,7.125347569,wind
Australia,2001,0.0,wind
Australia,2001,0.0,wind
Australia,2001,5.847662652,wind
Australia,2001,0.0,wind
Australia,2001,0.719639468,wind
Australia,2001,12.40625767,wind
Australia,2001,0.881557717,wind
Australia,2001,0.0,wind
Australia,2001,0.0,wind
Australia,2001,28.57790324,wind
Australia,2001,4.397111447,wind
Australia,2001,0.0,wind
Australia,2001,1.380120344,wind
Australia,2001,0.860112172,wind
Australia,2001,13.83106578,wind
Australia,2001,0.238528799,flood
Australia,2001,0.224589888,flood
Australia,2001,0.209002428,flood
Australia,2001,0.253462969,flood
Australia,2001,-3.507412791,drought
Australia,2001,1.951617741,drought
Australia,2002,761169.0155,wildfire
Australia,2002,7.125347569,wind
Australia,2002,0.0,wind
Australia,2002,0.0,wind
Australia,2002,5.847662652,wind
Australia,2002,0.0,wind
Australia,2002,1.047867807,wind
Australia,2002,12.40625767,wind
Australia,2002,0.881557717,wind
Australia,2002,0.0,wind
Australia,2002,0.0,wind
Australia,2002,28.57790324,wind
Australia,2002,4.397111447,wind
Australia,2002,0.0,wind
Australia,2002,1.380120344,wind
Australia,2002,0.860112172,wind
Australia,2002,13.83106578,wind
Australia,2002,0.238528799,flood
Australia,2002,0.224589888,flood
Australia,2002,0.209002428,flood
Australia,2002,0.253462969,flood
Australia,2002,-14.38405267,drought
Australia,2002,-16.176138,drought
Australia,2003,374209.8141,wildfire
Australia,2003,7.125347569,wind
Australia,2003,0.0,wind
Australia,2003,0.0,wind
Australia,2003,5.847662652,wind
Australia,2003,0.0,wind
Australia,2003,1.593559504,wind
Australia,2003,12.40625767,wind
Australia,2003,0.881557717,wind
Australia,2003,0.0,wind
Australia,2003,0.0,wind
Australia,2003,28.57790324,wind
Australia,2003,4.397111447,wind
Australia,2003,0.0,wind
Australia,2003,1.380120344,wind
Australia,2003,0.860112172,wind
Australia,2003,13.83106578,wind
Australia,2003,0.238528799,flood
Australia,2003,0.224589888,flood
Australia,2003,0.209002428,flood
Australia,2003,0.253462969,flood
Australia,2003,-1.009242687,drought
Australia,2003,-5.087396232,drought
Australia,2004,607280.0186,wildfire
Australia,2004,7.125347569,wind
Australia,2004,0.0,wind
Australia,2004,0.0,wind
Australia,2004,5.847662652,wind
Australia,2004,0.0,wind
Australia,2004,1.722641879,wind
Australia,2004,12.40625767,wind
Australia,2004,0.881557717,wind
Australia,2004,0.0,wind
Australia,2004,0.0,wind
Australia,2004,28.57790324,wind
Australia,2004,4.397111447,wind
Australia,2004,0.0,wind
Australia,2004,1.380120344,wind
Australia,2004,0.860112172,wind
Australia,2004,13.83106578,wind
Australia,2004,0.238528799,flood
Australia,2004,0.224589888,flood
Australia,2004,0.209002428,flood
Australia,2004,0.253462969,flood
Australia,2004,-5.096464912,drought
Australia,2004,-2.431892663,drought
Australia,2005,302423.1314,wildfire
Australia,2005,7.125347569,wind
Australia,2005,0.0,wind
Australia,2005,0.0,wind
Australia,2005,5.847662652,wind
Australia,2005,0.0,wind
Australia,2005,1.540014608,wind
Australia,2005,12.40625767,wind
Australia,2005,0.881557717,wind
Australia,2005,0.0,wind
Australia,2005,0.0,wind
Australia,2005,28.57790324,wind
Australia,2005,4.397111447,wind
Australia,2005,0.0,wind
Australia,2005,1.380120344,wind
Australia,2005,0.860112172,wind
