Country,Year,Carbon Monoxide Agriculture,Carbon Monoxide Combustion,Carbon Monoxide Industrial combustion,Carbon Monoxide Industrial processes and product use,Carbon Monoxide Miscellaneous,Carbon Monoxide Other Mobile Sources,Carbon Monoxide Other combustion,Carbon Monoxide Power stations,Carbon Monoxide Road Transport,Carbon Monoxide Total Mobile Sources,Carbon Monoxide Total Stationary Sources,Carbon Monoxide Total emissions per capita,"Carbon Monoxide Total emissions per unit of GDP, Kg per 1000 USD","Carbon Monoxide Total emissions, Index 1990 = 100","Carbon Monoxide Total emissions, Index 2000 = 100",Carbon Monoxide Total man-made emissions,Carbon Monoxide Waste,Nitrogen Oxides Agriculture,Nitrogen Oxides Combustion,Nitrogen Oxides Industrial combustion,Nitrogen Oxides Industrial processes and product use,Nitrogen Oxides Miscellaneous,Nitrogen Oxides Other Mobile Sources,Nitrogen Oxides Other combustion,Nitrogen Oxides Power stations,Nitrogen Oxides Road Transport,Nitrogen Oxides Total Mobile Sources,Nitrogen Oxides Total Stationary Sources,Nitrogen Oxides Total emissions per capita,"Nitrogen Oxides Total emissions per unit of GDP, Kg per 1000 USD","Nitrogen Oxides Total emissions, Index 1990 = 100","Nitrogen Oxides Total emissions, Index 2000 = 100",Nitrogen Oxides Total man-made emissions,Nitrogen Oxides Waste,Non-methane Volatile Organic Compounds Agriculture,Non-methane Volatile Organic Compounds Combustion,Non-methane Volatile Organic Compounds Industrial combustion,Non-methane Volatile Organic Compounds Industrial processes and product use,Non-methane Volatile Organic Compounds Miscellaneous,Non-methane Volatile Organic Compounds Other Mobile Sources,Non-methane Volatile Organic Compounds Other combustion,Non-methane Volatile Organic Compounds Power stations,Non-methane Volatile Organic Compounds Road Transport,Non-methane Volatile Organic Compounds Total Mobile Sources,Non-methane Volatile Organic Compounds Total Stationary Sources,Non-methane Volatile Organic Compounds Total emissions per capita,"Non-methane Volatile Organic Compounds Total emissions per unit of GDP, Kg per 1000 USD","Non-methane Volatile Organic Compounds Total emissions, Index 1990 = 100","Non-methane Volatile Organic Compounds Total emissions, Index 2000 = 100",Non-methane Volatile Organic Compounds Total man-made emissions,Non-methane Volatile Organic Compounds Waste,Particulates (PM10) Agriculture,Particulates (PM10) Combustion,Particulates (PM10) Industrial combustion,Particulates (PM10) Industrial processes and product use,Particulates (PM10) Miscellaneous,Particulates (PM10) Other Mobile Sources,Particulates (PM10) Other combustion,Particulates (PM10) Power stations,Particulates (PM10) Road Transport,Particulates (PM10) Total Mobile Sources,Particulates (PM10) Total Stationary Sources,Particulates (PM10) Total emissions per capita,"Particulates (PM10) Total emissions per unit of GDP, Kg per 1000 USD","Particulates (PM10) Total emissions, Index 1990 = 100","Particulates (PM10) Total emissions, Index 2000 = 100",Particulates (PM10) Total man-made emissions,Particulates (PM10) Waste,Particulates (PM2.5) Agriculture,Particulates (PM2.5) Combustion,Particulates (PM2.5) Industrial combustion,Particulates (PM2.5) Industrial processes and product use,Particulates (PM2.5) Miscellaneous,Particulates (PM2.5) Other Mobile Sources,Particulates (PM2.5) Other combustion,Particulates (PM2.5) Power stations,Particulates (PM2.5) Road Transport,Particulates (PM2.5) Total Mobile Sources,Particulates (PM2.5) Total Stationary Sources,Particulates (PM2.5) Total emissions per capita,"Particulates (PM2.5) Total emissions per unit of GDP, Kg per 1000 USD","Particulates (PM2.5) Total emissions, Index 1990 = 100","Particulates (PM2.5) Total emissions, Index 2000 = 100",Particulates (PM2.5) Total man-made emissions,Particulates (PM2.5) Waste,Sulphur Oxides Agriculture,Sulphur Oxides Combustion,Sulphur Oxides Industrial combustion,Sulphur Oxides Industrial processes and product use,Sulphur Oxides Miscellaneous,Sulphur Oxides Other Mobile Sources,Sulphur Oxides Other combustion,Sulphur Oxides Power stations,Sulphur Oxides Road Transport,Sulphur Oxides Total Mobile Sources,Sulphur Oxides Total Stationary Sources,Sulphur Oxides Total emission intensities,Sulphur Oxides Total emissions per capita,"Sulphur Oxides Total emissions per unit of GDP, Kg per 1000 USD","Sulphur Oxides Total emissions, Index 1990 = 100","Sulphur Oxides Total emissions, Index 2000 = 100",Sulphur Oxides Total man-made emissions,Sulphur Oxides Waste
Australia,2001,538.311,1029.561,192.755,10.632,19.592,352.097,836.806,66.477,3105.417,3457.513,1664.573,265.741,6.822,89.413,95.085,5122.086,0.0,33.068,696.662,663.459,44.983,3.378,358.969,33.203,539.542,282.953,641.923,1317.633,101.665,2.61,120.926,104.49,1959.555,0.0,31.401,171.591,71.635,217.476,207.709,81.699,99.955,5.795,286.959,368.659,1036.638,72.909,1.872,92.781,99.275,1405.297,402.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109.279,106.078,1885.107,0.0,18.191,3.201,560.13,11.728,29.919,2554.516,,134.084,3.442,163.037,110.329,2584.435,0.0
Australia,2002,554.604,896.946,203.296,10.355,17.358,359.073,693.65,72.754,3075.142,3434.215,1552.017,255.767,6.441,87.041,92.563,4986.231,0.0,34.147,732.306,698.317,44.311,2.993,361.943,33.989,576.024,287.718,649.661,1389.781,104.612,2.634,125.856,108.75,2039.442,0.0,32.352,161.3,76.805,228.386,216.335,83.278,84.495,6.547,291.2,374.479,1045.805,72.853,1.835,93.77,100.333,1420.283,400.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112.98,109.948,2044.903,0.0,17.567,3.033,587.003,12.4,29.966,2744.886,,142.335,3.584,175.049,118.458,2774.853,0.0
Australia,2003,261.322,946.955,227.666,12.087,14.877,367.011,719.29,68.788,2828.269,3195.281,1304.029,228.151,5.577,78.542,83.524,4499.31,0.0,15.72,814.221,779.791,53.211,2.57,396.989,34.43,555.313,283.027,680.016,1441.034,107.554,2.629,130.892,113.102,2121.049,0.0,15.244,169.601,85.68,240.98,207.298,87.699,83.921,5.455,273.746,361.445,887.049,63.309,1.548,82.428,88.198,1248.494,248.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112.525,109.456,2000.645,0.0,18.054,3.068,630.593,12.741,30.794,2743.762,,140.692,3.439,175.03,118.445,2774.556,0.0
Australia,2004,536.804,934.548,236.89,12.641,14.909,380.858,697.658,77.134,2636.328,3017.187,1576.037,230.436,5.519,80.181,85.267,4593.223,0.0,32.816,840.658,805.204,54.881,2.583,403.23,35.454,561.704,278.548,681.778,1492.642,109.088,2.613,134.186,115.948,2174.42,0.0,31.314,172.087,89.92,236.006,203.433,90.183,82.167,6.29,267.214,357.397,899.358,63.05,1.51,82.974,88.781,1256.756,250.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,113.481,110.599,1753.09,0.0,19.277,2.882,613.391,13.068,32.345,2479.962,,126.039,3.019,158.486,107.25,2512.307,0.0
Australia,2005,355.032,929.549,256.683,10.042,14.097,394.103,672.867,85.404,2184.835,2578.938,1394.126,196.912,4.647,69.355,73.755,3973.063,0.0,21.452,894.568,858.233,37.541,2.438,423.95,36.335,566.561,247.762,671.712,1522.56,108.752,2.567,135.411,117.006,2194.272,0.0,20.71,178.72,99.01,237.195,199.96,94.352,79.71,6.242,241.324,335.676,898.561,61.171,1.444,81.487,87.191,1234.237,255.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,117.276,114.356,1775.909,0.0,19.418,2.921,594.163,13.358,32.776,2487.348,,124.902,2.948,158.98,107.584,2520.124,0.0
Australia,2006,449.82,907.849,253.372,10.315,14.56,375.421,654.477,87.725,2097.973,2473.394,1470.268,192.835,4.445,68.842,73.209,3943.662,0.0,27.415,870.929,828.5,38.506,2.511,404.697,42.43,615.56,245.105,649.802,1554.921,107.805,2.485,136.056,117.564,2204.723,0.0,26.239,179.678,101.268,239.363,202.883,89.319,78.41,6.458,240.12,329.439,912.493,60.727,1.4,81.995,87.734,1241.931,257.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,118.03,115.03,1695.807,0.0,18.142,3.0,636.788,13.843,31.986,2450.625,,121.393,2.799,156.613,105.982,2482.611,0.0
Australia,2007,199.731,887.067,252.589,10.825,16.376,377.645,634.478,92.193,1797.378,2175.023,1206.192,162.343,3.68,59.024,62.768,3381.214,0.0,11.533,876.233,832.476,40.261,2.824,404.426,43.757,647.406,231.113,635.539,1578.256,106.291,2.409,136.616,118.047,2213.795,0.0,11.651,176.788,100.227,236.03,199.584,88.848,76.561,6.793,222.401,311.25,891.086,57.728,1.309,79.381,84.937,1202.335,260.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,115.35,112.359,1681.427,0.0,19.297,2.991,613.741,14.923,34.22,2410.518,,117.38,2.661,154.224,104.365,2444.737,0.0
Australia,2008,247.58,880.032,266.817,10.648,16.602,383.697,613.216,95.401,1592.128,1975.825,1250.263,151.822,3.447,56.316,59.888,3226.089,0.0,15.196,920.303,873.54,39.598,2.863,415.027,46.763,654.131,219.303,634.33,1632.09,106.659,2.421,139.863,120.853,2266.42,0.0,14.442,180.559,105.842,232.919,201.554,88.559,74.717,7.503,213.268,301.827,896.687,56.403,1.28,79.129,84.667,1198.514,259.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,123.325,120.314,1719.464,0.0,16.503,3.012,638.29,14.776,31.279,2481.08,,118.233,2.684,158.49,107.252,2512.359,0.0
Australia,2009,306.845,844.025,259.63,8.545,9.409,386.111,584.395,106.991,1494.781,1880.891,1275.814,145.526,3.301,55.105,58.6,3156.706,0.0,18.725,905.582,869.371,31.905,1.622,414.076,36.211,667.628,210.85,624.926,1625.462,103.744,2.353,138.874,119.999,2250.388,0.0,17.899,178.375,108.239,236.795,221.007,89.808,70.136,10.271,205.177,294.984,915.98,55.826,1.266,79.951,85.546,1210.964,251.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,113.668,110.844,1820.197,0.0,17.995,2.824,631.394,14.663,32.657,2565.259,,119.766,2.717,163.887,110.904,2597.916,0.0
Australia,2010,267.013,836.389,274.996,24.051,10.098,399.028,561.393,95.917,1360.626,1759.654,1233.468,135.855,3.054,52.249,55.563,2993.122,0.0,16.252,929.488,891.963,9.211,1.77,424.393,37.526,755.24,204.081,628.475,1711.961,106.23,2.388,144.431,124.8,2340.436,0.0,15.576,182.276,114.347,237.823,221.411,92.264,67.928,16.656,204.26,296.524,898.793,54.254,1.22,78.918,84.441,1195.317,225.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,116.47,113.659,1618.823,0.0,18.112,2.811,610.08,14.623,32.735,2345.373,,107.94,2.427,150.021,101.521,2378.108,0.0
Australia,2011,392.793,832.528,295.642,11.301,8.254,409.992,536.887,82.91,1203.149,1613.141,1327.785,131.644,2.888,51.338,54.595,2940.926,0.0,24.037,1007.642,970.735,42.08,1.452,427.148,36.907,585.13,203.717,630.864,1660.341,102.561,2.25,141.393,122.175,2291.206,0.0,22.913,189.445,123.944,236.514,223.034,93.683,65.501,7.779,196.67,290.353,915.869,53.994,1.184,79.638,85.211,1206.222,236.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,113.643,110.847,1773.984,0.0,16.885,2.796,587.026,15.47,32.355,2474.653,,112.22,2.462,158.152,107.024,2507.008,0.0
Australia,2012,396.628,876.796,339.343,8.791,10.779,419.954,537.453,91.471,1101.893,1521.847,1384.466,127.843,2.782,50.734,53.952,2906.313,0.0,24.525,1145.985,1103.943,32.897,1.887,429.603,42.042,610.577,193.092,622.695,1815.871,107.268,2.334,150.486,130.033,2438.566,0.0,23.137,210.002,144.2,227.016,218.666,95.156,65.802,9.105,191.111,286.266,928.396,53.431,1.163,80.195,85.808,1214.663,240.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,113.448,110.282,1791.438,0.0,14.858,3.167,582.15,16.197,31.055,2487.036,,110.766,2.41,158.851,107.497,2518.091,0.0
Australia,2013,370.726,917.814,380.377,16.057,10.557,432.772,537.437,87.178,1007.118,1439.891,1402.333,122.89,2.652,49.615,52.762,2842.224,0.0,23.451,1272.154,1229.491,6.591,1.85,436.261,42.663,579.245,187.385,623.646,1883.291,108.393,2.339,154.706,133.679,2506.937,0.0,21.626,224.846,158.796,237.583,207.884,96.899,66.05,8.507,187.449,284.348,943.031,53.069,1.145,81.034,86.706,1227.379,242.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,117.985,114.843,1713.499,0.0,11.326,3.142,554.943,16.427,27.754,2386.427,,104.383,2.253,152.296,103.061,2414.181,0.0
