Country,Year,Value
Australia,2001,0.877
Australia,2002,0.873
Australia,2003,0.871
Australia,2004,0.868
Australia,2005,0.864
Australia,2006,0.862
Australia,2007,0.858
Australia,2008,0.855
Australia,2009,0.853
Australia,2010,0.85
Australia,2011,0.847
Australia,2012,0.844
Australia,2013,0.841
Australia,2014,0.837
Australia,2015,0.834
Australia,2016,0.831
Australia,2017,0.828
Australia,2018,0.826
Australia,2019,0.821
Australia,2020,0.819
Austria,2001,0.894
Austria,2002,0.894
Austria,2003,0.894
Austria,2004,0.894
Austria,2005,0.894
Austria,2006,0.895
Austria,2007,0.895
Austria,2008,0.895
Austria,2009,0.895
Austria,2010,0.895
Austria,2011,0.895
Austria,2012,0.895
Austria,2013,0.895
Austria,2014,0.895
Austria,2015,0.895
Austria,2016,0.895
Austria,2017,0.895
Austria,2018,0.895
Austria,2019,0.895
Austria,2020,0.895
Belgium,2001,0.982
Belgium,2002,0.982
Belgium,2003,0.982
Belgium,2004,0.982
Belgium,2005,0.982
Belgium,2006,0.982
Belgium,2007,0.982
Belgium,2008,0.982
Belgium,2009,0.982
Belgium,2010,0.982
Belgium,2011,0.983
Belgium,2012,0.983
Belgium,2013,0.983
Belgium,2014,0.983
Belgium,2015,0.983
Belgium,2016,0.983
Belgium,2017,0.983
Belgium,2018,0.983
Belgium,2019,0.983
Belgium,2020,0.984
Canada,2001,0.969
Canada,2002,0.969
Canada,2003,0.968
Canada,2004,0.968
Canada,2005,0.968
Canada,2006,0.967
Canada,2007,0.967
Canada,2008,0.967
Canada,2009,0.967
Canada,2010,0.966
Canada,2011,0.966
Canada,2012,0.966
Canada,2013,0.966
Canada,2014,0.965
Canada,2015,0.965
Canada,2016,0.965
Canada,2017,0.965
Canada,2018,0.964
Canada,2019,0.964
Canada,2020,0.964
Czech Republic,2001,0.969
Czech Republic,2002,0.969
Czech Republic,2003,0.969
Czech Republic,2004,0.969
Czech Republic,2005,0.969
Czech Republic,2006,0.969
Czech Republic,2007,0.969
Czech Republic,2008,0.969
Czech Republic,2009,0.969
Czech Republic,2010,0.97
Czech Republic,2011,0.97
Czech Republic,2012,0.97
Czech Republic,2013,0.97
Czech Republic,2014,0.97
Czech Republic,2015,0.97
Czech Republic,2016,0.97
Czech Republic,2017,0.97
Czech Republic,2018,0.97
Czech Republic,2019,0.971
Czech Republic,2020,0.971
Denmark,2001,0.976
Denmark,2002,0.976
Denmark,2003,0.976
Denmark,2004,0.976
Denmark,2005,0.976
Denmark,2006,0.975
Denmark,2007,0.976
Denmark,2008,0.976
Denmark,2009,0.976
Denmark,2010,0.976
Denmark,2011,0.976
Denmark,2012,0.975
Denmark,2013,0.975
Denmark,2014,0.975
Denmark,2015,0.974
Denmark,2016,0.974
Denmark,2017,0.974
Denmark,2018,0.974
Denmark,2019,0.974
Denmark,2020,0.974
Estonia,2001,0.987
Estonia,2002,0.987
Estonia,2003,0.987
Estonia,2004,0.987
Estonia,2005,0.986
Estonia,2006,0.986
Estonia,2007,0.986
Estonia,2008,0.986
Estonia,2009,0.986
Estonia,2010,0.986
Estonia,2011,0.986
Estonia,2012,0.986
Estonia,2013,0.986
Estonia,2014,0.986
Estonia,2015,0.986
Estonia,2016,0.986
Estonia,2017,0.986
Estonia,2018,0.986
Estonia,2019,0.986
Estonia,2020,0.986
Finland,2001,0.991
Finland,2002,0.991
Finland,2003,0.991
Finland,2004,0.991
Finland,2005,0.991
Finland,2006,0.991
Finland,2007,0.991
Finland,2008,0.991
Finland,2009,0.99
Finland,2010,0.99
Finland,2011,0.99
Finland,2012,0.99
Finland,2013,0.99
Finland,2014,0.99
Finland,2015,0.99
Finland,2016,0.99
Finland,2017,0.99
Finland,2018,0.99
Finland,2019,0.99
Finland,2020,0.99
France,2001,0.913
France,2002,0.909
France,2003,0.904
France,2004,0.9
France,2005,0.896
France,2006,0.891
France,2007,0.886
France,2008,0.882
France,2009,0.879
France,2010,0.876
France,2011,0.872
France,2012,0.869
France,2013,0.865
France,2014,0.861
France,2015,0.857
France,2016,0.854
France,2017,0.85
France,2018,0.847
France,2019,0.843
France,2020,0.839
Germany,2001,0.982
Germany,2002,0.982
Germany,2003,0.982
Germany,2004,0.981
Germany,2005,0.982
Germany,2006,0.982
Germany,2007,0.982
Germany,2008,0.982
Germany,2009,0.982
Germany,2010,0.982
Germany,2011,0.982
Germany,2012,0.982
Germany,2013,0.982
Germany,2014,0.982
Germany,2015,0.982
Germany,2016,0.982
Germany,2017,0.982
Germany,2018,0.982
Germany,2019,0.982
Germany,2020,0.982
Greece,2001,0.84
