Country,Amphibians,Birds,Fish,Invertebrates,Lichens,Mammals,Mosses,Reptiles,Vascular plants
Australia,39.0,135.0,106.0,71.0,0.0,107.0,1.0,60.0,1350.0
Austria,12.0,66.0,78.0,968.0,443.0,27.0,238.0,9.0,1092.0
Belgium,6.0,55.0,58.0,566.0,495.0,18.0,140.0,4.0,423.0
Brazil,38.0,234.0,818.0,299.0,0.0,110.0,0.0,80.0,0.0
Canada,18.0,97.0,180.0,2317.0,328.0,55.0,405.0,29.0,965.0
Chile,44.0,46.0,76.0,119.0,2.0,36.0,9.0,52.0,426.0
Colombia,299.0,125.0,172.0,98.0,0.0,37.0,42.0,44.0,665.0
Costa Rica,60.0,30.0,106.0,31.0,0.0,21.0,2.0,13.0,158.0
Czech Republic,16.0,99.0,50.0,3313.0,569.0,15.0,224.0,7.0,908.0
Denmark,5.0,84.0,16.0,602.0,221.0,9.0,51.0,1.0,162.0
Estonia,3.0,95.0,22.0,137.0,181.0,3.0,159.0,2.0,204.0
Finland,1.0,86.0,24.0,1298.0,477.0,8.0,312.0,1.0,212.0
France,8.0,107.0,52.0,219.0,0.0,17.0,0.0,9.0,421.0
Germany,10.0,94.0,98.0,3752.0,1052.0,39.0,409.0,9.0,1410.0
Greece,6.0,62.0,126.0,0.0,0.0,29.0,0.0,9.0,255.0
Hungary,2.0,78.0,70.0,24.0,113.0,14.0,173.0,4.0,382.0
Iceland,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
Ireland,1.0,133.0,22.0,179.0,0.0,1.0,113.0,0.0,101.0
Italy,14.0,67.0,94.0,456.0,153.0,23.0,237.0,11.0,631.0
Japan,47.0,98.0,370.0,65.0,63.0,34.0,240.0,37.0,1790.0
Korea,5.0,54.0,48.0,174.0,0.0,14.0,0.0,5.0,188.0
Latvia,4.0,39.0,4.0,79.0,24.0,5.0,61.0,2.0,209.0
Lithuania,4.0,56.0,10.0,89.0,43.0,7.0,48.0,2.0,130.0
Luxembourg,4.0,26.0,24.0,23.0,0.0,0.0,0.0,2.0,354.0
Mexico,58.0,243.0,335.0,51.0,0.0,148.0,2.0,170.0,566.0
Netherlands,7.0,41.0,46.0,162.0,156.0,10.0,122.0,5.0,356.0
New Zealand,0.0,0.0,0.0,266.0,16.0,0.0,20.0,0.0,0.0
Norway,2.0,62.0,24.0,1356.0,269.0,17.0,243.0,0.0,297.0
Poland,0.0,34.0,44.0,1081.0,545.0,13.0,83.0,3.0,480.0
Portugal,2.0,111.0,22.0,0.0,0.0,31.0,0.0,10.0,0.0
Russia,0.0,57.0,40.0,38.0,0.0,34.0,0.0,9.0,63.0
Slovak Republic,8.0,51.0,24.0,1621.0,357.0,20.0,312.0,5.0,527.0
Slovenia,17.0,105.0,100.0,0.0,0.0,34.0,0.0,18.0,334.0
Spain,9.0,68.0,84.0,238.0,0.0,26.0,45.0,19.0,1041.0
Sweden,3.0,54.0,40.0,1079.0,0.0,9.0,154.0,2.0,268.0
Switzerland,14.0,76.0,68.0,1075.0,257.0,33.0,387.0,13.0,780.0
Türkiye,8.0,55.0,196.0,89.0,0.0,23.0,0.0,22.0,197.0
United Kingdom,2.0,101.0,8.0,512.0,190.0,11.0,108.0,2.0,393.0
