Country,Amphibians,Birds,Fish,Invertebrates,Lichens,Mammals,Mosses,Reptiles,Vascular plants
Australia,14.0,63.0,50.0,14.0,0.0,57.0,1.0,31.0,585.0
Austria,8.0,28.0,30.0,356.0,251.0,17.0,135.0,3.0,488.0
Belgium,0.0,20.0,44.0,230.0,0.0,12.0,0.0,2.0,63.0
Brazil,11.0,120.0,296.0,94.0,0.0,55.0,0.0,20.0,0.0
Canada,10.0,52.0,102.0,1553.0,104.0,33.0,184.0,16.0,418.0
Chile,11.0,19.0,28.0,23.0,1.0,20.0,4.0,25.0,153.0
Colombia,101.0,61.0,147.0,48.0,0.0,24.0,32.0,17.0,319.0
Costa Rica,15.0,19.0,74.0,15.0,0.0,13.0,2.0,5.0,90.0
Czech Republic,6.0,36.0,16.0,1261.0,247.0,4.0,76.0,3.0,212.0
Denmark,1.0,45.0,8.0,319.0,87.0,6.0,33.0,1.0,28.0
Estonia,1.0,41.0,11.0,54.0,43.0,0.0,116.0,1.0,102.0
Finland,0.0,35.0,10.0,676.0,224.0,3.0,88.0,1.0,76.0
France,5.0,58.0,16.0,179.0,0.0,10.0,0.0,6.0,238.0
Germany,5.0,40.0,46.0,2183.0,546.0,22.0,250.0,2.0,820.0
Greece,3.0,31.0,56.0,0.0,0.0,13.0,0.0,6.0,174.0
Hungary,1.0,35.0,0.0,8.0,45.0,6.0,63.0,0.0,105.0
Iceland,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,0.0,79.0,10.0,100.0,0.0,1.0,64.0,0.0,56.0
Italy,10.0,21.0,28.0,232.0,0.0,13.0,0.0,5.0,169.0
Japan,22.0,43.0,92.0,43.0,20.0,9.0,103.0,23.0,741.0
Korea,3.0,29.0,14.0,117.0,0.0,7.0,0.0,4.0,86.0
Latvia,2.0,16.0,2.0,34.0,4.0,2.0,17.0,0.0,83.0
Lithuania,3.0,20.0,4.0,22.0,3.0,4.0,26.0,1.0,41.0
Luxembourg,1.0,11.0,16.0,9.0,0.0,0.0,0.0,2.0,109.0
Mexico,43.0,127.0,144.0,26.0,0.0,90.0,2.0,142.0,348.0
Netherlands,3.0,19.0,28.0,51.0,65.0,8.0,43.0,4.0,168.0
New Zealand,0.0,0.0,0.0,71.0,8.0,0.0,2.0,0.0,0.0
Norway,1.0,33.0,8.0,785.0,123.0,6.0,124.0,0.0,131.0
Poland,0.0,10.0,27.0,571.0,165.0,1.0,31.0,1.0,204.0
Portugal,2.0,61.0,4.0,0.0,0.0,13.0,0.0,6.0,0.0
Slovak Republic,5.0,17.0,12.0,1036.0,169.0,12.0,190.0,4.0,201.0
Slovenia,14.0,45.0,20.0,0.0,0.0,15.0,0.0,11.0,254.0
Spain,6.0,36.0,48.0,164.0,0.0,18.0,22.0,10.0,523.0
Sweden,3.0,28.0,15.0,695.0,85.0,4.0,87.0,2.0,139.0
Switzerland,8.0,42.0,22.0,487.0,116.0,16.0,164.0,2.0,362.0
Türkiye,4.0,36.0,54.0,0.0,0.0,15.0,0.0,5.0,56.0
United Kingdom,0.0,47.0,3.0,272.0,111.0,5.0,52.0,0.0,229.0
