REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Australia,2001,900401.4277,wildfire
Australia,2002,761169.0155,wildfire
Australia,2003,374209.8141,wildfire
Australia,2004,607280.0186,wildfire
Australia,2005,302423.1314,wildfire
Australia,2006,527394.7873,wildfire
Australia,2007,565249.2332,wildfire
Australia,2008,321263.8087,wildfire
Australia,2009,366586.4526,wildfire
Australia,2010,225593.58,wildfire
Australia,2011,845709.1854,wildfire
Australia,2012,885627.6825,wildfire
Australia,2013,331842.2672,wildfire
Australia,2014,467643.5311,wildfire
Australia,2015,427884.8787,wildfire
Australia,2016,244031.5651,wildfire
Australia,2017,445588.8819,wildfire
Australia,2018,554478.1871,wildfire
Australia,2019,306703.6051,wildfire
Australia,2020,222180.0596,wildfire
Austria,2001,98.22296982,wildfire
Austria,2002,12.33797054,wildfire
Austria,2003,19.87738719,wildfire
Austria,2004,53.11718983,wildfire
Austria,2005,35.59498149,wildfire
Austria,2006,20.37342938,wildfire
Austria,2007,0.159780936,wildfire
Austria,2008,29.37591641,wildfire
Austria,2009,15.56086963,wildfire
Austria,2010,0.0,wildfire
Austria,2011,33.10387324,wildfire
Austria,2012,0.653601837,wildfire
Austria,2013,3.051425667,wildfire
Austria,2014,14.13428919,wildfire
Austria,2015,0.0,wildfire
Austria,2016,0.805302405,wildfire
Austria,2017,2.765892459,wildfire
Austria,2018,6.984676875,wildfire
Austria,2019,0.582801616,wildfire
Austria,2020,1.457677535,wildfire
Belgium,2001,0.0,wildfire
Belgium,2002,0.0,wildfire
Belgium,2003,0.150090089,wildfire
Belgium,2004,1.523039696,wildfire
Belgium,2005,0.0,wildfire
Belgium,2006,3.723245961,wildfire
Belgium,2007,9.782647133,wildfire
Belgium,2008,0.0,wildfire
Belgium,2009,3.912383113,wildfire
Belgium,2010,0.0,wildfire
Belgium,2011,8.926615232,wildfire
Belgium,2012,0.0,wildfire
Belgium,2013,0.0,wildfire
Belgium,2014,0.769659439,wildfire
Belgium,2015,0.0,wildfire
Belgium,2016,1.201021654,wildfire
Belgium,2017,0.0,wildfire
Belgium,2018,0.0,wildfire
Belgium,2019,0.0,wildfire
Belgium,2020,12.27976596,wildfire
Canada,2001,3747.8041,wildfire
Canada,2002,24987.19128,wildfire
Canada,2003,18930.87336,wildfire
Canada,2004,22864.4507,wildfire
Canada,2005,15048.16206,wildfire
Canada,2006,19139.10467,wildfire
Canada,2007,13946.23992,wildfire
Canada,2008,15026.71901,wildfire
Canada,2009,6896.797814,wildfire
Canada,2010,25347.1017,wildfire
Canada,2011,16485.46347,wildfire
Canada,2012,16018.36928,wildfire
Canada,2013,38797.20767,wildfire
Canada,2014,31636.55616,wildfire
Canada,2015,29756.70488,wildfire
Canada,2016,9814.751743,wildfire
Canada,2017,29343.64541,wildfire
Canada,2018,18278.15101,wildfire
Canada,2019,12811.36175,wildfire
Canada,2020,2631.388173,wildfire
Chile,2001,92.68556267,wildfire
Chile,2002,543.1451089,wildfire
Chile,2003,761.4463966,wildfire
Chile,2004,614.2300585,wildfire
Chile,2005,1237.381836,wildfire
Chile,2006,338.5850118,wildfire
Chile,2007,713.4972553,wildfire
Chile,2008,849.1026947,wildfire
Chile,2009,738.3292421,wildfire
Chile,2010,789.352184,wildfire
Chile,2011,712.9459689,wildfire
Chile,2012,1385.352109,wildfire
Chile,2013,208.1391537,wildfire
Chile,2014,1270.653113,wildfire
