REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Australia,2001,7.125347569,wind
Australia,2001,0.0,wind
Australia,2001,0.0,wind
Australia,2001,5.847662652,wind
Australia,2001,0.0,wind
Australia,2001,0.719639468,wind
Australia,2001,12.40625767,wind
Australia,2001,0.881557717,wind
Australia,2001,0.0,wind
Australia,2001,0.0,wind
Australia,2001,28.57790324,wind
Australia,2001,4.397111447,wind
Australia,2001,0.0,wind
Australia,2001,1.380120344,wind
Australia,2001,0.860112172,wind
Australia,2001,13.83106578,wind
Australia,2002,7.125347569,wind
Australia,2002,0.0,wind
Australia,2002,0.0,wind
Australia,2002,5.847662652,wind
Australia,2002,0.0,wind
Australia,2002,1.047867807,wind
Australia,2002,12.40625767,wind
Australia,2002,0.881557717,wind
Australia,2002,0.0,wind
Australia,2002,0.0,wind
Australia,2002,28.57790324,wind
Australia,2002,4.397111447,wind
Australia,2002,0.0,wind
Australia,2002,1.380120344,wind
Australia,2002,0.860112172,wind
Australia,2002,13.83106578,wind
Australia,2003,7.125347569,wind
Australia,2003,0.0,wind
Australia,2003,0.0,wind
Australia,2003,5.847662652,wind
Australia,2003,0.0,wind
Australia,2003,1.593559504,wind
Australia,2003,12.40625767,wind
Australia,2003,0.881557717,wind
Australia,2003,0.0,wind
Australia,2003,0.0,wind
Australia,2003,28.57790324,wind
Australia,2003,4.397111447,wind
Australia,2003,0.0,wind
Australia,2003,1.380120344,wind
Australia,2003,0.860112172,wind
Australia,2003,13.83106578,wind
Australia,2004,7.125347569,wind
Australia,2004,0.0,wind
Australia,2004,0.0,wind
Australia,2004,5.847662652,wind
Australia,2004,0.0,wind
Australia,2004,1.722641879,wind
Australia,2004,12.40625767,wind
Australia,2004,0.881557717,wind
Australia,2004,0.0,wind
Australia,2004,0.0,wind
Australia,2004,28.57790324,wind
Australia,2004,4.397111447,wind
Australia,2004,0.0,wind
Australia,2004,1.380120344,wind
Australia,2004,0.860112172,wind
Australia,2004,13.83106578,wind
Australia,2005,7.125347569,wind
Australia,2005,0.0,wind
Australia,2005,0.0,wind
Australia,2005,5.847662652,wind
Australia,2005,0.0,wind
Australia,2005,1.540014608,wind
Australia,2005,12.40625767,wind
Australia,2005,0.881557717,wind
Australia,2005,0.0,wind
Australia,2005,0.0,wind
Australia,2005,28.57790324,wind
Australia,2005,4.397111447,wind
Australia,2005,0.0,wind
Australia,2005,1.380120344,wind
Australia,2005,0.860112172,wind
Australia,2005,13.83106578,wind
Australia,2006,7.125347569,wind
Australia,2006,0.0,wind
Australia,2006,0.0,wind
Australia,2006,5.847662652,wind
Australia,2006,0.0,wind
Australia,2006,2.866623306,wind
Australia,2006,12.40625767,wind
Australia,2006,0.881557717,wind
Australia,2006,0.0,wind
Australia,2006,0.0,wind
Australia,2006,28.57790324,wind
Australia,2006,4.397111447,wind
Australia,2006,0.0,wind
Australia,2006,1.380120344,wind
Australia,2006,0.860112172,wind
Australia,2006,13.83106578,wind
Australia,2007,7.125347569,wind
Australia,2007,0.0,wind
Australia,2007,0.0,wind
Australia,2007,5.847662652,wind
Australia,2007,0.0,wind
Australia,2007,3.020575842,wind
Australia,2007,12.40625767,wind
Australia,2007,0.881557717,wind
Australia,2007,0.0,wind
Australia,2007,0.0,wind
Australia,2007,28.57790324,wind
Australia,2007,4.397111447,wind
Australia,2007,0.0,wind
Australia,2007,1.380120344,wind
Australia,2007,0.860112172,wind
Australia,2007,13.83106578,wind
Australia,2008,7.125347569,wind
Australia,2008,0.0,wind
Australia,2008,0.0,wind
Australia,2008,5.847662652,wind
Australia,2008,0.0,wind
Australia,2008,1.114699842,wind
Australia,2008,12.40625767,wind
Australia,2008,0.881557717,wind
Australia,2008,0.0,wind
Australia,2008,0.0,wind
Australia,2008,28.57790324,wind
Australia,2008,4.397111447,wind
Australia,2008,0.0,wind
Australia,2008,1.380120344,wind
Australia,2008,0.860112172,wind
Australia,2008,13.83106578,wind
Australia,2009,7.125347569,wind
Australia,2009,0.0,wind
Australia,2009,0.0,wind
Australia,2009,5.847662652,wind
Australia,2009,0.0,wind
Australia,2009,2.834161485,wind
Australia,2009,12.40625767,wind
Australia,2009,0.881557717,wind
Australia,2009,0.0,wind
Australia,2009,0.0,wind
Australia,2009,28.57790324,wind
Australia,2009,4.397111447,wind
Australia,2009,0.0,wind
Australia,2009,1.380120344,wind
Australia,2009,0.860112172,wind
Australia,2009,13.83106578,wind
Australia,2010,7.125347569,wind
Australia,2010,0.0,wind
Australia,2010,0.0,wind
Australia,2010,5.847662652,wind
Australia,2010,0.0,wind
Australia,2010,1.107807316,wind
Australia,2010,12.40625767,wind
Australia,2010,0.881557717,wind
Australia,2010,0.0,wind
Australia,2010,0.0,wind
Australia,2010,28.57790324,wind
Australia,2010,4.397111447,wind
Australia,2010,0.0,wind
Australia,2010,1.380120344,wind
Australia,2010,0.860112172,wind
Australia,2010,13.83106578,wind
Australia,2011,7.125347569,wind
Australia,2011,0.0,wind
Australia,2011,0.0,wind
Australia,2011,5.847662652,wind
Australia,2011,0.0,wind
Australia,2011,4.204669757,wind
Australia,2011,12.40625767,wind
Australia,2011,0.881557717,wind
Australia,2011,0.0,wind
Australia,2011,0.0,wind
Australia,2011,28.57790324,wind
Australia,2011,4.397111447,wind
Australia,2011,0.0,wind
Australia,2011,1.380120344,wind
Australia,2011,0.860112172,wind
Australia,2011,13.83106578,wind
Australia,2012,7.125347569,wind
Australia,2012,0.0,wind
Australia,2012,0.0,wind
Australia,2012,5.847662652,wind
Australia,2012,0.0,wind
Australia,2012,1.764522769,wind
Australia,2012,12.40625767,wind
Australia,2012,0.881557717,wind
Australia,2012,0.0,wind
Australia,2012,0.0,wind
Australia,2012,28.57790324,wind
Australia,2012,4.397111447,wind
Australia,2012,0.0,wind
Australia,2012,1.380120344,wind
Australia,2012,0.860112172,wind
Australia,2012,13.83106578,wind
Australia,2013,7.125347569,wind
Australia,2013,0.0,wind
Australia,2013,0.0,wind
Australia,2013,5.847662652,wind
Australia,2013,0.0,wind
Australia,2013,4.045733881,wind
Australia,2013,12.40625767,wind
Australia,2013,0.881557717,wind
Australia,2013,0.0,wind
Australia,2013,0.0,wind
Australia,2013,28.57790324,wind
Australia,2013,4.397111447,wind
Australia,2013,0.0,wind
Australia,2013,1.380120344,wind
Australia,2013,0.860112172,wind
Australia,2013,13.83106578,wind
Australia,2014,7.125347569,wind
Australia,2014,0.0,wind
Australia,2014,0.0,wind
Australia,2014,5.847662652,wind
Australia,2014,0.0,wind
Australia,2014,1.527004873,wind
Australia,2014,12.40625767,wind
Australia,2014,0.881557717,wind
Australia,2014,0.0,wind
Australia,2014,0.0,wind
Australia,2014,28.57790324,wind
Australia,2014,4.397111447,wind
Australia,2014,0.0,wind
Australia,2014,1.380120344,wind
Australia,2014,0.860112172,wind
Australia,2014,13.83106578,wind
Australia,2015,7.125347569,wind
Australia,2015,0.0,wind
Australia,2015,0.0,wind
Australia,2015,5.847662652,wind
Australia,2015,0.0,wind
Australia,2015,2.096475491,wind
Australia,2015,12.40625767,wind
Australia,2015,0.881557717,wind
Australia,2015,0.0,wind
Australia,2015,0.0,wind
Australia,2015,28.57790324,wind
Australia,2015,4.397111447,wind
Australia,2015,0.0,wind
Australia,2015,1.380120344,wind
Australia,2015,0.860112172,wind
Australia,2015,13.83106578,wind
Australia,2016,7.125347569,wind
Australia,2016,0.0,wind
Australia,2016,0.0,wind
Australia,2016,5.847662652,wind
Australia,2016,0.0,wind
Australia,2016,1.618772145,wind
Australia,2016,12.40625767,wind
Australia,2016,0.881557717,wind
Australia,2016,0.0,wind
Australia,2016,0.0,wind
Australia,2016,28.57790324,wind
Australia,2016,4.397111447,wind
Australia,2016,0.0,wind
Australia,2016,1.380120344,wind
Australia,2016,0.860112172,wind
Australia,2016,13.83106578,wind
Australia,2017,7.125347569,wind
Australia,2017,0.0,wind
Australia,2017,0.0,wind
Australia,2017,5.847662652,wind
Australia,2017,0.0,wind
Australia,2017,0.683060456,wind
Australia,2017,12.40625767,wind
Australia,2017,0.881557717,wind
Australia,2017,0.0,wind
Australia,2017,0.0,wind
Australia,2017,28.57790324,wind
Australia,2017,4.397111447,wind
Australia,2017,0.0,wind
Australia,2017,1.380120344,wind
Australia,2017,0.860112172,wind
Australia,2017,13.83106578,wind
Australia,2018,7.125347569,wind
Australia,2018,0.0,wind
Australia,2018,0.0,wind
Australia,2018,5.847662652,wind
Australia,2018,0.0,wind
Australia,2018,1.073966554,wind
Australia,2018,12.40625767,wind
Australia,2018,0.881557717,wind
Australia,2018,0.0,wind
Australia,2018,0.0,wind
Australia,2018,28.57790324,wind
Australia,2018,4.397111447,wind
Australia,2018,0.0,wind
Australia,2018,1.380120344,wind
Australia,2018,0.860112172,wind
Australia,2018,13.83106578,wind
Australia,2019,7.125347569,wind
Australia,2019,0.0,wind
Australia,2019,0.0,wind
Australia,2019,5.847662652,wind
Australia,2019,0.0,wind
Australia,2019,2.147423901,wind
Australia,2019,12.40625767,wind
Australia,2019,0.881557717,wind
Australia,2019,0.0,wind
Australia,2019,0.0,wind
Australia,2019,28.57790324,wind
Australia,2019,4.397111447,wind
Australia,2019,0.0,wind
Australia,2019,1.380120344,wind
Australia,2019,0.860112172,wind
Australia,2019,13.83106578,wind
Australia,2020,7.125347569,wind
Australia,2020,0.0,wind
